claim_id,category,exact_claim,source_url,source_quote_max_15_words,verdict,discrepancy,severity
sciex-monitor-product-page-added-19681c49754f,Signal card,SCIEX added Tripletof 6600Plus System,https://sciex.com/products/mass-spectrometers/qtof-systems/tripletof-systems/tripletof-6600plus-system,QTOF Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-965cea28d0ce,Signal card,SCIEX added Zenotof 7600 System,https://sciex.com/products/mass-spectrometers/qtof-systems/zenotof-7600-system,ZenoTOF 7600 system,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-23b18ccf1b09,Signal card,SCIEX added 7600 Plus System,https://sciex.com/products/mass-spectrometers/qtof-systems/7600-plus-system,ZenoTOF 7600+ system,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-d90b109b1581,Signal card,SCIEX added 8600 System,https://sciex.com/products/mass-spectrometers/qtof-systems/8600-system,ZenoTOF 8600 system | QTOF mass spectrometry for confident workflows,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-5df2f0f91e55,Signal card,SCIEX added Qtrap Systems,https://sciex.com/products/mass-spectrometers/qtrap-systems,QTRAP LC-MS/MS Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-2c770db764c7,Signal card,SCIEX added Qtrap 6500Plus System,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-6500plus-system,QTRAP 6500plus System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-0d05594c2b18,Signal card,SCIEX added Qtrap 6500 System,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-6500-system,QTRAP 6500 LC-MS/MS Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-b6feafec1bee,Signal card,SCIEX added Qtrap 5500 System,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-5500-system,QTRAP 5500 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-c4440faa7a3c,Signal card,SCIEX added Qtrap 4500 System,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-4500-system,QTRAP 4500 LC-MS/MS System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-91a12f854736,Signal card,SCIEX added Qtrap 4000 System,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-4000-system,4000 QTRAP LC-MS/MS System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-9921c26421cd,Signal card,SCIEX added Qtrap 3200 System,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-3200-system,3200 QTRAP LC-MS/MS System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-57935b1aa90e,Signal card,SCIEX added Triple Quad Systems,https://sciex.com/products/mass-spectrometers/triple-quad-systems,Triple Quad™ LC-MS/MS Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-7b6b3eb96e94,Signal card,SCIEX added Triple Quad 6500Plus System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-6500plus-system,Triple Quad 6500+ System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-67f68e7bd394,Signal card,SCIEX added Triple Quad 5500 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-5500-system,Triple Quad 5500 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-0ee05b43b5b0,Signal card,SCIEX added Triple Quad 4500 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-4500-system,Triple Quad 4500 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-2d23d2b57780,Signal card,SCIEX added Triple Quad 3500 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-3500-system,Triple Quad 3500 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-05090ccb6d0b,Signal card,SCIEX added Api 3200 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/api-3200-system,API 3200 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-38baf1ce585a,Signal card,SCIEX added Triple Quad 6500 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-6500-system,Triple Quad 6500 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-7446537876dc,Signal card,SCIEX added Api 4000 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/api-4000-system,API 4000 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-c01a352e2408,Signal card,SCIEX added Triple Quad 7500 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-7500-system,Triple Quad 7500 Plus System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-b64fb8adbee0,Signal card,SCIEX added Triple Quad 7500 Plus System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-7500-plus-system,Triple Quad 7500 Plus System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-b9db12fdd5b3,Signal card,SCIEX added Novus V55 System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/novus-v55-system,novus V55 system,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-c1ab57ccce28,Signal card,SCIEX added Triple Quad 5500 Plus System,https://sciex.com/products/mass-spectrometers/triple-quad-systems/triple-quad-5500-plus-system,Triple Quad 5500 Plus System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-005d90674d6c,Signal card,SCIEX added Tof Tof Systems,https://sciex.com/products/mass-spectrometers/tof-tof-systems,TOF/TOF Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-96b9477f3118,Signal card,SCIEX added Tof Tof 5800 System,https://sciex.com/products/mass-spectrometers/tof-tof-systems/tof-tof-5800-system,TOF/TOF™ 5800 System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-004bc7b2cce0,Signal card,SCIEX added Novus V55 Roi Calculator,https://sciex.com/products/mass-spectrometers/novus-v55-roi-calculator,novus V55 ROI calculator,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-9f9cfe4bf69c,Signal card,SCIEX added Microlc Products,https://sciex.com/products/hplc-products/microlc-products,Micro-LC Products,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-d435a9222360,Signal card,SCIEX added Micro Hplc Columns,https://sciex.com/products/hplc-products/microlc-products/micro-hplc-columns,Micro HPLC Columns,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-ffaac4b25f20,Signal card,SCIEX added M5 Microlc,https://sciex.com/products/hplc-products/microlc-products/m5-microlc,M5 MicroLC: See More with Microflow LC-MS,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-e3df624edd3d,Signal card,SCIEX added Nanolc Products,https://sciex.com/products/hplc-products/nanolc-products,NanoFlow LC,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-fc71984d502f,Signal card,SCIEX added Nanolc 400,https://sciex.com/products/hplc-products/nanolc-products/nanolc-400,NanoLC 400,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-c75c2bf4ab86,Signal card,SCIEX added Nano Chiplc Columns,https://sciex.com/products/hplc-products/nanolc-products/nano-chiplc-columns,Nano cHiPLC Columns,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-2b21e0614609,Signal card,SCIEX added Chiplc System,https://sciex.com/products/hplc-products/nanolc-products/chiplc-system,cHiPLC System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-1037503b160c,Signal card,SCIEX added Micro Chiplc Columns,https://sciex.com/products/hplc-products/nanolc-products/micro-chiplc-columns,Micro cHiPLC Columns,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-68a1e5a30cad,Signal card,SCIEX added Exionlc 2,https://sciex.com/products/hplc-products/exionlc-2,ExionLC™ 2.0 System for UHPLC,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-89c52ec3b161,Signal card,SCIEX added Exionlc Ae,https://sciex.com/products/hplc-products/exionlc-ae,ExionLC AE system for UHPLC,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-83681a999612,Signal card,SCIEX added Analyst Software,https://sciex.com/products/software/analyst-software,Analyst Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-fb0563888cbe,Signal card,SCIEX added Analyst Tf Software,https://sciex.com/products/software/analyst-tf-software,Analyst Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-70dda5ee07fb,Signal card,SCIEX added Biopharmaview Software,https://sciex.com/products/software/biopharmaview-software,Biologics Explorer Software | SCIEX,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-9b7e11e08542,Signal card,SCIEX added Bio Tool Kit Software,https://sciex.com/products/software/bio-tool-kit-software,Bio Tool Kit Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-b544ef2aeb29,Signal card,SCIEX added Chemoview Software,https://sciex.com/products/software/chemoview-software,ChemoView software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-c5877dd41fff,Signal card,SCIEX added Discoveryquant Software,https://sciex.com/products/software/discoveryquant-software,DiscoveryQuant Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-f976c08f8f82,Signal card,SCIEX added Cliquid Software,https://sciex.com/products/software/cliquid-software,Cliquid Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-d266fa198594,Signal card,SCIEX added Lightsight Software,https://sciex.com/products/software/lightsight-software,LightSight software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-2e325d6812d6,Signal card,SCIEX added Lipidview Software,https://sciex.com/products/software/lipidview-software,LipidView software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-1f1eaa556ed9,Signal card,SCIEX added Markerview Software,https://sciex.com/products/software/markerview-software,MarkerView Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-14e8689b7baa,Signal card,SCIEX added Metabolitepilot Software,https://sciex.com/products/software/metabolitepilot-software,Molecule Profiler,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-58ebfdd92d82,Signal card,SCIEX added Mpx Software,https://sciex.com/products/software/mpx-software,MPX Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-53f2c9db2fbc,Signal card,SCIEX added Multiquant Software,https://sciex.com/products/software/multiquant-software,MultiQuant Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-7155c3fe676a,Signal card,SCIEX added Peakview Software,https://sciex.com/products/software/peakview-software,PeakView Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-614c4535746c,Signal card,SCIEX added Proteinpilot Software,https://sciex.com/products/software/proteinpilot-software,ProteinPilot - Next-Level Quantification &amp;amp; Identification,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-d1e450e9883c,Signal card,SCIEX added Mass Spectrometry Software Solutions,https://sciex.com/products/software/mass-spectrometry-software-solutions,Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-ed7e6810332b,Signal card,SCIEX added Oneomics,https://sciex.com/products/software/oneomics,OneOmics,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-d0d66fc16203,Signal card,SCIEX added Molecule Profiler Software,https://sciex.com/products/software/molecule-profiler-software,Molecule Profiler,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-35f5bb9417b5,Signal card,SCIEX added Biologics Explorer Software,https://sciex.com/products/software/biologics-explorer-software,Biologics Explorer Software | SCIEX,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-26b6cc033c60,Signal card,SCIEX added Os Software Roi Calculator,https://sciex.com/products/software/os-software-roi-calculator,OS Software ROI Calculator,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-5831707253b8,Signal card,SCIEX added Artificial Intelligence Quant,https://sciex.com/products/software/artificial-intelligence-quant,AI Quantitation software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-1d63d0e8aa50,Signal card,SCIEX added Sciex Os Software,https://sciex.com/products/software/sciex-os-software,SCIEX OS Software,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-8ddebb67c185,Signal card,SCIEX added Sciex Os Tips And Tricks,https://sciex.com/products/software/sciex-os-software/sciex-os-tips-and-tricks,SCIEX OS tips and tricks,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-1de2a8b792e4,Signal card,SCIEX added Partner Software,https://sciex.com/products/software/partner-software,Partner Testimonials,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sec-sciex-0000313616-26-000163,Signal card,SCIEX filed 8-K,https://www.sec.gov/Archives/edgar/data/313616/000031361626000163/dhr-20260721.htm,DANAHER CORPORATION,Contradicted,"The SEC filing identifies DANAHER CORPORATION, not SCIEX.",Critical
sec-sciex-0000313616-26-000161,Signal card,SCIEX filed 10-Q,https://www.sec.gov/Archives/edgar/data/313616/000031361626000161/dhr-20260626.htm,DANAHER CORPORATION,Contradicted,"The SEC filing identifies DANAHER CORPORATION, not SCIEX.",Critical
shimadzu-monitor-product-page-added-51e328fafe8f,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/index.html,Advanced LC-MS Solutions | SHIMADZU,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-b53e177446a0,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-modified-nucleosides/index.html,LC/MS/MS Method Package for Modified Nucleosides : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-4cc1776b3539,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-short-chain-fatty-acids/index.html,LC/MS/MS Method Package for Short Chain Fatty Acids : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-ed77455d2ac1,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-veterinary-drugs-ver-2/index.html,LC/MS/MS Method Package for Veterinary Drugs Ver. 2 : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-19235db0163b,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/rapid-toxicology-screening-ver2/index.html,DPiMS™-8060 Method Package for Rapid Toxicology Screening Ver.2 : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-6d08e82a9c74,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/metabolites-method-package-suite/index.html,Metabolites Method Package Suite : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-e771e6a0443c,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-mycotoxins/index.html,LC/MS/MS Method Package for Mycotoxins : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-d8d1881ec362,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-restricted-chemicals-in-textiles/index.html,LC/MS/MS Method Package for Restricted Chemicals in Textiles : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-55b9a0a378b7,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-pfas/index.html,LC/MS/MS Method Package for PFAS in Drinking Water : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-ad97b6fc064e,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-aminoglycoside-antibiotics/index.html,LC/MS/MS Method Package for Aminoglycoside Antibiotics : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-8cfe84e08928,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-forensic-toxicology-database/index.html,LC/MS/MS Forensic Toxicology Database : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-f32f48945731,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/lcmsms-method-package-for-water-quality-analysis/index.html,LC/MS/MS Method Package for Water Quality Analysis : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-32a20a522e57,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/erexim-application-suite/index.html,Erexim™ Application Suite : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-71981cd6d718,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/micro-volume-quechers-kit/index.html,Micro Volume QuEChERS Kit : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-a71525ce933f,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/open-solution-analytical/index.html,Open Solution : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-97e1f78c5889,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/mrm-library-for-triglycerides/index.html,LC/MS/MS MRM Library for Triglycerides : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
shimadzu-monitor-product-page-added-2eddf63b2cb1,Signal card,Shimadzu added Index.Html,https://www.shimadzu.com/an/products/liquid-chromatograph-mass-spectrometry/lc-ms-system/trap-free-2d-lcms-system-for-quadrupole-lcms/index.html,Trap-Free 2D LC/MS system for Quadrupole LCMS : SHIMADZU (Shimadzu Corporation),Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
